시작 시간,종료 시간,내용,live_id
00:01:39.01,00:02:08.46,하일로 입에 율 끼워주고 한번 돌려볼까 해요 아 옷도 새로 샀어요 이쁘지 않나요 전재산 털어서 샀어,18454869
00:02:12.11,00:02:14.21,이정도 오시면 어두울때 안보이겠지?,
00:02:30.89,00:02:36.46,오케 오케 오지너무 X같다고 아니 왜,
00:02:39.24,00:03:08.50,치킨은 못 먹지만 치즈를 벌어서 실제 치킨을 먹는 흠 내일 점심으로 뽀링클을 처먹으라는 신의 개시인가 자 바로 돌려보도록 하겠습니다 아 치킨 미션 고마워요 5000원 7시간 안에 하면 되는 거야?,
00:03:08.53,00:03:09.05,그때 하나 뽑아줘 너무 캐릭터 자체가 안 이뻐유,
00:03:22.63,00:03:41.67,좋았어 스팀베그도 로비 프레임 제한 걸음 뭔가 캠이 끊긴 것 같아서 아니면 내 눈이 삐꾸인가봐 미안해 이거 캐주얼 모드야?,
00:03:41.69,00:03:46.56,아니 까만 거 싫어하는 놈이 옷은 왜 또 블랙 바디숏임 크크크 아 첫 판 캐주얼 모드 나쁘지 않죠,
00:03:50.56,00:04:03.61,혹시 여기서 치킨 먹는 것도 포함인가요?,
00:04:03.69,00:04:04.39,이 새끼 저격이다!,
00:04:04.97,00:04:15.78,개자식아!,
00:04:15.80,00:04:19.23,근데 옷 이렇게 입혀놓으니까 좀 섹시한데?,
00:04:19.25,00:04:20.33,그럼 통파이고 또 뭐여지?,
00:04:34.08,00:04:46.05,어디로 가볼까?,
00:04:46.07,00:05:00.20,바로 간다!,
00:05:00.22,00:05:01.60,오키 내 먹잇감 많아,
00:05:13.14,00:05:21.83,이새끼 유저인거 같은데?,
00:05:21.85,00:05:22.13,아닌가?,
00:05:22.15,00:05:23.47,봇은 스킨 없지 않아요?,
00:05:44.12,00:05:47.31,뭐야 뭐 텅텅 비었어?,
00:05:47.33,00:05:47.45,뭐야?,
00:05:47.65,00:05:47.75,말이 돼?,
00:06:34.72,00:06:51.37,이번엔 좀 조용히 다니자 미션 수락가로 눌러야 시작됨 아 진짜요?,
00:06:52.07,00:06:54.31,매니저님이 혹시 수락 눌러줄 수 있나요?,
00:07:37.49,00:08:04.83,나 5탄 총 쓰고 싶은데 캐쥬얼 모드랍니다,
00:08:11.36,00:08:28.84,뭐야 음 아니 캐주얼 모드야 내 만폭나무 어쩔거야 빨리 익힐만 하고 죽어두라 너무하시네,
00:08:57.11,00:09:19.12,가구 팔 치킨 가격 올랐어 아 7탄 총 쓸까?,
00:09:19.13,00:09:20.40,사람끼리 싸우는 소리 같은데?,
00:09:49.49,00:10:16.30,볼지 않은 곳에 있는 것 같은데 솔직히 치킨 미션 천만원 걸려도 치킨 못 먹을 것 같으면,
00:10:26.73,00:10:50.14,차 끌고 이동한다 오케이 총알은 이 정도면 됐어 그 정도로 제가 비열하지 않습니다,
00:10:55.03,00:11:22.49,레드존이다 일단 자기장도 걸쳐 오오 확 뜨네,
00:11:24.66,00:11:24.90,어?,
00:11:25.00,00:11:30.59,"치킨 75,000원?",
00:11:30.61,00:11:43.35,그 정도로 안전자산이야?,
00:11:43.37,00:11:44.27,한 200이면 고른다 근데 200이면 할앵이님이 사이머 가고싶다고 골라달라 할 듯,
00:12:01.62,00:12:09.18,자기장 다음 거 보고 자기장 움직이자 솔직히 절대로 치킨 못 먹을 것 같으면 개추 크크크,
00:12:37.93,00:12:59.28,저격은 아니겠지 아 mp 오케이 아니야 에이스 한번 써보자 이번판,
00:13:35.71,00:13:44.65,차 끌고 배 타러 갔나?,
00:13:44.67,00:13:44.79,배 탔나 봐,
00:14:19.57,00:14:31.98,저격이면 자결해 아닌가?,
00:14:32.99,00:14:36.41,처음 만난 사람 마다 사람이냐?,
00:14:54.50,00:15:17.34,캐주얼 또 돌려버렸다 나갈까요?,
00:15:17.36,00:15:17.52,맘대로 하라고?,
00:15:17.90,00:15:18.00,그냥 고?,
00:15:18.02,00:15:18.08,오케이,
00:15:36.62,00:16:01.82,솔직히 방금 죽은 꼴 보면 일반이나 캐주얼이나 별 차이 없어 보이는데 그냥 캐주얼이나 하죠,
00:16:04.75,00:16:08.24,아니야 계속 보신줄 알고 상대하다가 갑자기 사람이라니까?,
00:16:08.54,00:16:21.53,갑자기 존나 잘 쏴 아니이이 치킨 10만원 그니까 캐주얼전이 12명만 사람으로 돌린다 하더라구요,
00:16:40.46,00:16:57.15,슈우우우웃!,
00:16:58.10,00:16:58.76,이 새끼... 봇인가?,
00:17:26.43,00:17:40.91,벌써 미션이 68달러 쌓였네 존가 너무한데?,
00:18:22.82,00:18:24.33,되게 스코프가 많이 나오네,
00:19:06.60,00:19:27.01,14번 사람이.. 사람은 아니네?,
00:19:27.03,00:19:29.30,ㅈㄴ 신중하게 하길래 ㅅㅂ 사람인줄 알았네,
00:19:51.44,00:19:52.92,아 총알이 너무 많이 죽었는데?,
00:20:23.87,00:20:35.48,여기도 털렸어?,
00:20:47.47,00:20:47.69,여기 보시턴 같은데?,
00:20:47.71,00:20:50.97,파밍은 뭐 이쯤 하면 될 거 같은데요?,
00:20:50.99,00:20:52.48,아 수류탄이 없는 게 존나 아쉽다,
