시작 시간,종료 시간,내용
00:00:00.03,00:00:27.58,아침을 무너뜨리고 밤을 흩날리며 불쾌한 나의 차이가 일어나는 이 감정은 흰이 흑인인가요?
00:00:27.60,00:00:28.50,꿈꾸는 미래와 잊어버린 겨울이 죽어버린 것 같고 달려나가며 흐르듯이 연결되어 있는
00:00:30.86,00:00:41.46,i love you
00:00:44.34,00:01:01.79,요리 1타잇!
00:01:29.29,00:01:49.73,다음 영상에서 만나요.
00:02:05.39,00:02:31.67,하일로우 아... 정신이 하나도 없네 반갑습니다 여러분
00:02:34.68,00:02:40.23,정말 일주일이라는 시간이 훌쩍 가네요?
00:02:40.29,00:02:42.31,음... 밤낮이 왜 바뀌었냐고?
00:02:42.33,00:02:59.77,오늘 아침에 기업 실적 발표가 있어서 그거 보느라 씨발 아... 음... 그렇게 됐습니다 마이크가 또 씹창 났다고?
00:03:00.95,00:03:00.99,왜?
00:03:01.01,00:03:04.21,소리가 큰가요?
00:03:04.23,00:03:04.37,"아, 아, 아"
00:03:07.10,00:03:31.47,하나 둘 셋 하나 둘 셋 하나 둘 셋 지금은 아 지금 위잉거리는 소리는 저기 뽀로리 화장실 작동하는 소리라서 잡음이 아닙니다 얼굴 땡땡 부었다고?
00:03:31.79,00:03:36.96,아 이거는 자기 전에 삼겹살과 삼양라면을 먹고 잤기 때문이에요
00:03:37.85,00:03:56.27,얼굴 땡땡 부었죠?
00:03:56.33,00:03:58.45,뽈롤리 같다고?
00:03:58.47,00:04:05.72,애완동물과 주인은 닮아간다더니 빨리 급해?
00:04:05.74,00:04:05.80,투표?
00:04:05.82,00:04:06.74,배그 할 건데?
00:04:08.04,00:04:29.81,뽈롤리는 지금 응가하고 자기 칭찬해달라는 표정으로 날 보고 있어요 구독 10개월인데 이 주호옥 같은 이모티콘 언제 바뀌나요?
00:04:29.83,00:04:30.69,가리는 방법이라도 좀 알려줘 크크크크 아 배그 선생님 하나 구할까?
00:04:30.71,00:04:33.56,그 나이에 그렇게 먹고 용케 잘 자네 뭐 이 정도 먹으면 영원히 자야 돼 그러면?
00:04:36.89,00:04:38.90,이미 블루 있잖아?
00:04:38.92,00:04:44.41,블루는 너무 원하더라서 날 이해 못하는 것 같은데?
00:04:45.09,00:04:46.59,내가 물어보면 좌우 반동은 어떻게 잡아야 돼?
00:04:46.61,00:04:55.44,하니까 감으로 잡아 이러잖아 어떻게 잡아 나의 눈높이에 맞는 그런
00:05:03.12,00:05:05.12,본인이 어나더 핫하치라서 그런 거 아니냐고?
00:05:05.46,00:05:29.04,그니까 뭐 5년이야 씨발 그 5년 동안 내가 만화를 몇 개 그렸는데 뭐야 왜 배그가 안 켜지냐 해석블루는 여자 버튜버가 아니라서 선생으로는 부적합하다
00:05:31.23,00:05:36.44,5년이면 내가 30인데 그때 한참 존나게 연지할 때인데?
00:05:50.90,00:05:51.92,그래서 놀긴 놀았죠?
00:05:52.62,00:05:57.53,요 온라인들은 좀 놀았어 존나 인정합니다
00:06:01.94,00:06:22.21,랩어피셜 나의 수준과 비슷한 선생님으로 버튜버 합방 구합니다 다소 의욕 있음 블루가 있는데 굳이 또 선생을 구하려 하다니 선생을 종류별로 두는 것도 꽤 재미있지 않겠어요?
00:06:22.23,00:06:24.61,그럼 만화가 아니네 뭐 그쵸?
