시작 시간,종료 시간,내용
00:00:12.02,00:00:31.69,다음 영상에서 만나요.
00:00:56.27,00:01:03.17,다음 영상에서 만나요.
00:03:11.66,00:03:38.48,"네, 얘기했네."
00:03:38.50,00:03:38.68,연령은 관계없어.
00:03:38.70,00:03:39.14,그런 어려운 것들도 포함해서 사랑해줄게.
00:03:39.16,00:03:39.32,"네, 얘기했네."
00:03:39.34,00:03:39.48,안 얘기했네.
00:03:39.50,00:03:39.72,"흠, 그런 말 말야."
00:03:39.74,00:03:40.16,이船에서는 미청자 무죄가 적용됩니다만.
00:03:40.18,00:03:40.26,맡겨줘.
00:03:40.28,00:03:40.46,법으로 돌아올게.
00:03:40.48,00:03:40.82,비밀의 수단은 너에게만 특별해.
00:03:40.84,00:03:41.24,"나야, 카이도.港なんか는 하샤게ない."
00:04:47.48,00:05:04.01,펜이 어디 갔지?
00:05:04.03,00:05:09.07,아 생일 축하해요 오늘 디지몬 안 보냐고?
00:05:09.10,00:05:14.36,디지몬 보기엔 지금 제가 잠을 너무 못 잤어요 다음으로 미르도는 거참하죠
00:05:14.81,00:05:26.86,오늘은 좀 12시까지 낙서를 하다가 밤낮을 좀 돌리려고 생각을 하고 있습니다
00:05:31.26,00:05:36.12,한국에 실존하는 이 세계.
00:05:36.13,00:05:36.37,그건 바로 군대입니다.
00:05:36.39,00:05:36.94,오르는 천장에서 눈물을 끄면서 시작합니다.
00:05:36.96,00:05:39.02,현실 세계로 마음대로 들어가십시오.
00:05:39.04,00:05:46.36,심지어 시간이 현실과 다르게 부정적으로 느리게 흐릅니다.
00:05:46.33,00:05:52.90,이 채널 구독 27개월 기념 메시지를 보내보세요.
00:05:52.92,00:05:53.24,27개월 동안 구독 중이에요.
00:05:53.26,00:05:59.93,실제로 몬스터들이 존재야.
00:05:59.95,00:06:10.32,그리고 전에 살던 세계와 전혀 다른 기이한 식문화가 존재하는데 아 이건 해물 비빔 소스라는 거다.
00:06:10.34,00:06:10.76,우리 세계에선 이걸 밥에다 비벼 먹지.
00:06:10.78,00:06:11.30,무엇보다도 세계관 내 규혁 외에 강자가 존재해.
00:06:11.32,00:06:11.44,난 행복한.
00:06:11.46,00:06:12.39,모든 작업은 나의 뜻대로 움직이지.
00:06:12.41,00:06:12.59,카페에 글 봤다.
00:06:12.61,00:06:12.91,여자 만나고 왔다며 누구냐.
00:06:12.93,00:06:14.89,누구 만나고 온 거야.
00:06:14.91,00:06:15.15,설마 버트버는 아니지.
00:06:15.17,00:06:16.19,누구야 빨리 말해.
00:06:16.17,00:06:18.33,아는 동생이에요.
00:06:18.35,00:06:20.45,주변 사람 캐지 마세요.
00:06:20.47,00:06:20.49,혹
00:06:43.44,00:07:05.51,뭐야 블루아카 N이야?
00:07:05.53,00:07:08.12,이번엔 진짜야?
00:07:08.43,00:07:09.72,아 이번 시즌 PV 인가보다
00:07:39.01,00:07:54.22,또 갈수록 많이 발전하네 예전 블루아카 PV는 그냥 한 장 한 장 그냥 약간 순식간에 보여주고 넘어가는 느낌이었는데 이번엔 좀 애니메이션틱하게 나오네
00:08:09.89,00:08:25.61,간만에 미익 하나 한 번 그려볼까?
00:08:25.63,00:08:34.78,27개월 구독 고맙습니다 그리고 화면이 너무 커서
00:08:36.10,00:08:55.01,렉 걸린다 뭐야 마도카야?
00:08:55.03,00:09:01.40,마마마도 진짜 2주만 할 때 쯤에 한 번씩 나온다
00:09:11.79,00:09:29.44,뭐야 애들 와꾸가 어디서 많이 봤는데?
00:09:29.46,00:09:29.76,경남이야?
00:09:30.54,00:09:33.42,어쩐지 낯이 익더라 몇몇 애들이
00:09:37.47,00:10:00.75,あのあのごめんなさい!
00:10:23.66,00:10:44.69,오늘 멋쟁이 컨셉이냐고요?
00:10:44.71,00:10:44.83,뭔 소리야?
00:10:44.85,00:10:45.21,평소랑 똑같은데?
00:10:58.50,00:11:02.08,오늘따라 섹시하다고?
00:11:02.74,00:11:04.51,저 나 뭐냐 갑자기?
00:11:04.53,00:11:06.14,갑자기 왜 맷돌 시동 걸어
