시작 시간,종료 시간,내용,live_id
00:00:00.03,00:00:15.84,다음 영상에서 만나요!,18536258
00:00:52.29,00:01:11.58,드디어 본색을 드러내는구나 그래서 합방 누구임?,
00:01:12.98,00:01:23.10,아 아 아 아,
00:01:40.28,00:02:04.57,중년 내가 인생 최후의 껄떡임 시작.,
00:02:07.45,00:02:23.21,애교 저승권 자식!,
00:02:44.49,00:03:02.11,오늘은 안 씻고 방송을 켰습니다.,
00:03:04.79,00:03:07.06,오늘은 왜 이럴 줄 알았다.,
00:03:07.08,00:03:07.26,큰일내가 질렀다.,
00:03:13.63,00:03:16.00,맞아요.,
00:03:16.02,00:03:16.20,안 씻은 거예요.,
00:03:16.22,00:03:23.69,그냥 자다 일어나서 바로 킨 거예요.,
00:03:23.71,00:03:42.26,합방 얘기는 우리 블루가 내가 트윅이 괜찮다는데 스쿼드 한 번 하자고 얘기를 계속 하길래 그래서 조만간 내가 실력을 키워서 부끄럽지 않은 멤버가 되겠다 얘기를 해놨어요.,
00:03:54.72,00:03:59.43,제목이 뭐냐 랩하여서 진짜 실망이다.,
00:04:01.19,00:04:02.57,왜 당연히 번지버라고 생각하고 들어오는 거지?,
00:04:02.77,00:04:16.37,블루 아니까요?,
00:04:16.39,00:04:21.88,대그 합방을 빌미로 블루님의 우결 노하우를 전수 받는다는 거잉.,
00:04:21.90,00:04:21.98,아...,
00:04:24.71,00:04:27.69,레바님 붕스주년 광고 언제 할 건가요?,
00:04:27.71,00:04:39.07,진짜 궁금함 뀨랑을 위한 효광과 스키키 다 갖고 있으시던데 아 이번에도 나온 거 뽑아야 되는데 아 그래서 남자랑 합방할 거냐고 크크크크크 아 못할 거 있어?,
00:04:42.74,00:04:48.42,어이없네 블루야 그 다음 합방 때 혹시 아는 버튜버 데려와 줄 수 있어?,
00:04:58.22,00:05:05.92,레바 이 새끼 또 버튜버한테 껄떡거리네 채팅을 드디어 칠 수 있게 됐구나 최근에 별로 못 쳤어서 나 너무 신나 끼야토,
00:05:06.64,00:05:08.27,개소리 하지마.,
00:05:08.29,00:05:11.83,블루가 일단 스쿼드를 하자고 했어요.,
00:05:12.39,00:05:19.98,그리고 멤버를 모아온다고 했거든.,
00:05:27.77,00:05:30.21,누가 할지는 몰라요.,
00:05:32.58,00:05:34.46,그래 정확히 그거라니까.,
00:05:35.74,00:06:03.26,풍령 내일 2대2 배그 미팅일 거임 제발 고추바 스쿼드 난 그래도 돼 아유 뭐 같이 한다는 게 중요한 거죠 어제 버튜버 합방 위안 배그 고백하기 왜 미션 성공 안 늘렸냐 솔직하지 못한 놈 자식 버튜버도 불러달라고 사정한 레바면 개추 크크 안 그랬어 X발한 새끼야,
00:06:04.34,00:06:21.50,블루닝이랑 스쿼드를 한다 자연스럽게 강진인과 연결고리가 생긴다 스텔라이브와의 연결고리가 생긴 다작전 대성공 작전 이러고 앉았네 두근두근 2미팅 스쿼드 vs 개빡숙 치킨 먹기 고추박 스쿼드 당신의 선택은?,
00:06:21.52,00:06:23.45,후자가 더 재밌을 것 같은데?,
00:06:23.47,00:06:29.88,"아 치킨 5,000원 고맙습니다 안녕하세요 합방한다고 오늘 머리하고 오셨나요?",
00:06:29.90,00:06:31.36,아니요 머리 안 감은 건데요,
00:06:33.35,00:06:43.57,이 새끼 허니츄러스님도 결국 중간 연결다리로 써먹거니 이제 블루님조차 연결다리로 써먹으려고 정지 풀어달라고 접근하고 진짜 별로다.,
00:06:45.61,00:06:47.23,이제 중면이어서 급한 건 아니다.,
00:06:47.61,00:06:53.88,블루님한테 대답해주시면 곤란함 알지?,
00:06:53.90,00:06:58.41,이제 합방도 스텝 바이 스텝 영포티 전략 세워서 계획적으로 하네 이젠 무섭다.,
00:07:02.36,00:07:12.45,안녕하세요 렛바님 이제 실력으로 합방 안 될 거 같으니까 카메라 빨로 클립 따여서 필하려고 머리 하셨나요?,
