시작 시간,종료 시간,내용,live_id
00:00:17.71,00:00:34.62,다음 영상에서 만나요.,18572837
00:00:50.23,00:01:01.59,27.,
00:02:03.89,00:02:16.85,다음 영상에서 만나요!,
00:02:40.32,00:03:01.42,5살만 더 곁들이면 40이네?,
00:03:03.46,00:03:25.01,알로우,
00:03:30.61,00:03:35.69,형 7개월이야 나 잘했지?,
00:03:35.71,00:03:58.24,7개월 구독 고맙습니다 자 27개월 구독도 고마워요 하여튼 오늘도 그림 완성입니다 35세의 에란겔 라이딩 배틀의 신을 뵙습니다 신승권 중년의 왕이시여,
00:04:06.42,00:04:16.19,나나나나나 깔끔하게 0포티유로 정리하죠?,
00:04:16.69,00:04:30.63,자 어제 드린 것들은 일단 그대로 나와 있네요 나온다 자 이걸 보면 할 말이 있을 거야 그렇지?,
00:04:30.65,00:04:33.76,아 구독 고맙습니다 음,
00:04:35.07,00:04:46.23,오늘도 선풀이를 좀 그리다가 그림 투표를 진행하도록 하겠습니다.,
00:04:46.25,00:04:47.51,오늘도 허팅하세요.,
00:04:48.37,00:04:51.87,고마워요.,
00:04:52.01,00:04:56.48,보내 소리가 좀 커진 것 같은데 기분 탓인가?,
00:04:56.50,00:05:02.35,구독한 지 2년 그리고 3개월을 곁들인 27개월 구독받았습니다.,
00:05:03.74,00:05:32.96,살짝 줄이겠습니다 나도 나도 27개월 27개월 구독 고마워요 빨리 투표 싫어요 맡겨놨어,
00:05:34.77,00:06:03.60,그리고 싶을 때 그릴 거야 40개월 구독 고마워요 와 구독 고마워요 감사합니다 아,
00:06:05.32,00:06:08.44,어제 저희가 배그를 한 4시까지 했나요?,
00:06:08.50,00:06:09.05,5시까지 했나요?,
00:06:09.06,00:06:09.69,5시?,
00:06:22.27,00:06:30.18,오래 하긴 했네.,
00:06:34.58,00:06:43.93,나쁜 말 아닌데?,
00:06:46.48,00:07:02.52,그림은 생각보다 체력 소모가 막심하거든요 그림 체력하고 게임 체력은 다르지 노력을 해봐?,
00:07:02.98,00:07:04.52,노력하고 있어요 어?,
00:07:12.43,00:07:32.19,"음... 애초에 30분, 40분 내로 그림 하나씩 뽑는 그림 방송은 희귀할 거야 내가 생각해도 그래요 물론",
00:07:36.92,00:08:04.34,대신에 그렇게 그림 막 스케치 러프부터 깎는 사람들보다는 제가 완성도가 떨어지긴 합니다 그건 어쩔 수 없습니다 근데 그렇게 그리면 만화 그릴 때 죽어난다고요,
00:08:12.76,00:08:31.08,19개월 중고 신빙 등장 아 19개월 구독 고맙습니다 왜 이렇게 오늘따라 팬이 렉 걸리는 느낌이지?,
00:08:31.10,00:08:31.24,기분 탓인가?,
00:08:31.26,00:08:31.32,게임?,
00:08:31.34,00:08:33.12,뭐 이거저거 켜져있나?,
00:08:33.14,00:08:33.46,아닌데?,
00:08:33.48,00:08:38.93,네 하하하 나 오늘 등산 다니고 숲치로 살짝 머리가 깨질 것 같은데 어떡하지?,
00:08:40.47,00:08:41.67,가서 막걸리 드셨나요?,
00:08:43.05,00:08:49.52,알았어 알았어 항상 고맙고 사랑하고 어?,
00:08:49.54,00:08:54.32,응 암튼 그렇다예요 뭐가?,
00:08:54.34,00:09:09.90,아무튼 고마워요 딱히 생색내려고 한 말은 아니었어 양구 눈으로 한 번 그려볼까,
00:09:19.57,00:09:45.18,그러니까 미카 같다고?,
00:09:45.20,00:09:46.96,보통은 제가 이렇게 그리죠 와 27개월 구독 고맙습니다,
00:09:52.89,00:10:18.14,너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너�,
00:10:22.66,00:10:36.40,으 으 으 으,
00:10:50.89,00:10:54.62,저 강동원 아닌데요?,
00:10:56.33,00:11:07.16,어이없네 짐승 여러 마리 그렸잖아,
00:11:19.80,00:11:41.18,흰 멜리라면 그렸을 텐데.,
00:11:41.20,00:11:43.21,흰 멜리면 안 그렸을 텐데.,
00:11:43.23,00:11:44.95,뭐라면 형처럼 잘생겨질 수 있나요?,
00:11:48.10,00:12:07.16,아리가또~~ 흐흐흐,
00:12:14.33,00:12:25.96,레바님 뭐래도 음해받으면 그냥 1주차 역해 2주차 농 3주차 불라 빵 4주차 게이 5주차 인해 및 벌이 투표가죠.,
00:12:26.58,00:12:26.62,왜?,
00:12:26.64,00:12:26.78,왜 그래야지?,
00:12:35.96,00:13:03.62,ㅇㅇ 얘 강동원 아닌 게 어제 배그 하는 거 보니까 난 상남자야 아니야 난 게이야 하면서 정신 분열하는 거 보면 절대 강동원은 아님 강동원은 그런 에겐스러운 말 안 함 크크 그래도 배그 재밌는 거 같음 레바에 대한 지지를 철회한다,
00:13:03.84,00:13:06.98,오늘부로 나는 레바에 대한 지지를 철회한다.,
00:13:07.00,00:13:09.00,오늘부터 지지관계에서 벗어나.,
00:13:10.49,00:13:10.57,더보기.,
00:13:23.47,00:13:23.75,고마워요.,
00:13:23.77,00:13:27.85,실력 유무 떠나 한 번 빠져나오면 못나온 담배 중독보다 심함.,
00:13:33.52,00:13:37.48,그 정도로 중독적이지는 않은 것 같은데.,
00:13:37.50,00:13:50.70,아무튼 재밌은 배그.,
00:13:50.80,00:13:53.54,나 진짜 형 그림이 너무 이쁘다 생각해.,
00:13:53.56,00:13:55.86,계속 탐나고 가지고 싶어서 그림 추첨 도전하는 것 같아.,
00:13:55.88,00:13:57.52,뽀뽀 쭈압쭈압 와라랄.,
00:13:58.47,00:13:58.57,고마워요.,
00:13:59.86,00:14:22.50,제 그림을 좋아해 주신다니.. 다음 살 노릇이군요.,
00:14:22.52,00:14:28.57,어제 보니까 유저 발견하면 주치의 발견 하면서 달려가던데 남캐 여캐 구분 없이 그러나요 아니면 구분하나요?,
00:14:29.36,00:14:33.76,구분하는 편이죠.,
00:14:39.07,00:14:39.46,고맙습니다.,
00:14:40.28,00:14:47.79,이 이상 남자들한테 인기가 많아지면 곤란한데요.,
00:14:53.29,00:15:00.27,아 만원 넘은 것 같습니다.,
00:15:00.69,00:15:23.09,아 가서도 몸 건강히 잘 보내세요.,
00:15:32.34,00:15:54.53,갑자기 구도를 아 그냥 해보는 건데?,
00:16:09.39,00:16:17.88,구도 잡는 법을 아셨구나?,
00:16:17.90,00:16:30.66,저 얼마나 제가 배운 게 없긴 하지만 완전 초심자는 아닙니다.,
00:16:41.86,00:17:05.02,몇 가지나 어제 일어난 일이군요.,
00:17:12.79,00:17:41.18,흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠 흠,
00:17:43.40,00:17:48.89,그냥 투표 받자?,
00:17:48.91,00:17:49.01,기다려요.,
00:17:49.03,00:17:53.12,적어도 나도 그림을 그릴 시간은 있어야지.,
00:17:53.14,00:17:58.15,글쎄?,
00:18:00.71,00:18:05.80,여기서 그림 배워봤자 막 드라마틱하게 바뀌진 않을 텐데요?,
00:18:06.20,00:18:10.09,음...,
00:18:14.18,00:18:19.75,형 어제 배그에서 디바궁 썼다며 어퀴한 거야 디바궁은 C4를 붙여야지 디바궁 아니야?,
00:18:19.97,00:18:23.29,전 그냥 잃어버렸는데요?,
00:18:23.69,00:18:25.98,오늘은 버티버 그려주냐고요?,
00:18:26.00,00:18:28.10,지금 못 그려줄 것도 없는데?,
00:18:28.12,00:18:41.25,누가 보고 싶은데요?,
00:18:41.27,00:18:41.79,라코코요?,
00:18:42.41,00:18:42.55,여기 있는데?,
00:18:45.60,00:18:50.33,아 만 원만 고맙습니다 진짜 죄송한데 괜찮을 거라고 한마디만 해주실 수 있나요?,
00:18:50.71,00:18:52.72,헐 무슨 일이 있나요?,
00:18:52.74,00:19:09.72,잘 될 겁니다 무슨 일이 있는지 모르겠지만 생각보다 최악의 상황은 인생에서 많이 벌어지지 않더라고요,
00:19:16.08,00:19:27.50,지금 소주 맥주 마시면서 안주로 회랑 초밥 곁들이는 중인데 이렇게 여유있게 영상 보니 느낌이 색다르네 크크크.,
00:19:27.52,00:19:27.62,고마워요.,
00:19:27.64,00:19:29.16,레바야 너 대초서약 먹었더라?,
00:19:29.18,00:19:32.19,나쁜 새끼.,
00:19:32.79,00:19:43.52,너 음험하게 남의 덤담이나 들여다보고 있는 거야?,
00:19:46.71,00:20:09.26,얼마나 옛날 일이었나?,
00:20:20.41,00:20:46.89,레바야 성인되면서 어깨랑 허리 병신 대고 포기했던 그림 이제 다시 시작하려는데 응원에 한마디 부탁해 아유 고마워요 맞아요 할 수 있어요 음 확실히 뭐 남들보다 늦었을 수도 있겠지만 그게 포기할 만한 이유는 되지 않죠 당신은 할 수 있을 겁니다,
00:20:52.73,00:21:16.62,대체 어떤 일이든 남하고 비교하면 비토크 또 없다니까?,
00:21:18.71,00:21:24.84,리을리응 옛날에는 더튜버 그려달라고 하면 개성지르면서 의자 집어던졌는데.,
00:21:24.86,00:21:38.98,도대체 몇 번 지구에 이승권이랑 논거냐.,
00:21:59.99,00:22:20.17,라코코님 방송 별명이 변기통이라던데 저희 방송은 감정 쓰레기통인데 대비되네요.,
00:22:20.19,00:22:21.13,그걸로 공감하냐고?,
00:22:21.47,00:22:24.98,아니 그 방송 분위기가 묘하게 닮았어.,
00:22:25.14,00:22:27.80,여러분도 보시면 내 말 납득할 거임.,
00:22:28.56,00:22:54.13,여기 레바는 레바가 통발에 들어가서 파닥파닥 거리던데 변기통은 무슨 여기 방송은 체르노빌인데 그러긴 해,
00:22:55.63,00:22:59.85,굳이 봐야 되냐고 여기서 못 볼 걸 다 봤는데?,
00:22:59.99,00:23:09.66,설득력 X되는데 체르노빌 변기통은 생각 안 해봤냐?,
00:23:09.86,00:23:12.78,유튜브 보니까 라코코님 BDSM 성향이 뭐 디그레이디?,
00:23:13.68,00:23:20.67,음해당하는 거에 성적 쾌감 느끼신다면서 방송 분위기도 그쪽이던데 유튜브 편집본만 보는데도 X나 쉽지 않더라 드드,
00:23:24.45,00:23:28.52,뭐야 우린 하수구인데 지금 설마 그분하고 공감대 형성하는 거야?,
00:23:29.30,00:23:34.76,역하네 진짜 뭐 말을 못하네 버티버 그려달라잖아,
00:23:44.60,00:23:53.97,승권한 이역 모습 너무 잘생겨서 그런데 너 보면서 딸 쳐도 됨 나 팬섹슈얼이라 72개 성별 다 쌉가능인데 해도 될까?,
00:23:54.27,00:24:02.67,흥분돼서 계속 숨 잔다 할다 할게 흥 와.. 근데 뭐 뭐가 없지?,
00:24:02.69,00:24:03.23,ㅅㅂ?,
00:24:08.92,00:24:11.70,응원할게요 화이팅 오케이 너무 역겨우니까 오히려 살려줄게,
00:24:13.37,00:24:21.74,너 같은 새끼가 있어야지 다른 사람들이 널 보고 인생의 위안을 얻을 수 있어.,
00:24:21.76,00:24:25.50,예전에 누가 벗 주거한테 돈을 한다고 하니까 앵 살려줘요.,
00:24:25.96,00:24:30.41,돈 주지 말고 나한테 달라고 했다.,
00:24:30.43,00:24:43.13,죽었으면 냅두죠?,
00:24:43.15,00:24:43.21,정답.,
00:24:51.46,00:24:55.10,넌 역겨운 새끼가 싫은데 졸라 역겨운 새끼를 좋아하는 거임.,
00:24:55.12,00:24:58.21,순또라이 아냐?,
00:24:58.23,00:24:58.31,이거!,
00:24:58.57,00:25:02.30,아니 정도를 벗어난 또라이가 약간 감탄이 나오지 않아?,
00:25:02.66,00:25:03.54,살려준다는 사행이 사살의 살이냐고 지앤자.,
00:25:32.36,00:25:36.73,리을리응 대육회 마운틴 크크크크크크크크 아니 대육회는 아니거든요?,
00:25:38.75,00:25:40.43,말은 똑바로 합시다.,
00:25:40.45,00:25:41.67,육회에서 살려준 게 아니야.,
00:25:42.37,00:25:52.32,물론 죽었지만 육회하진 않아요.,
00:25:54.10,00:25:54.49,그냥 마운틴.,
00:25:54.51,00:25:56.75,약간 쓰레기 마운틴.,
00:25:56.77,00:26:00.93,선 넘는 도네는 벤인데 그 선을 아득히 넘어버리면 뭔가 경외감이 들어서 살려준다는 건가?,
00:26:03.93,00:26:05.01,맞아 그치?,
00:26:05.44,00:26:12.47,여러분 쓰레기장도 약간 진짜 웅장하게 커다란 면 우와 하면서 경외감이 들지 않겠어요?,
00:26:12.49,00:26:25.90,약간 그런 거랑 비슷하다고 보면 돼요 근데 저게 한 번 봐준다고 하면 수년 방송 때 내 꽃이 드리븐 하수였다는 거잖아 공감이 전혀 안 된다고?,
00:26:26.85,00:26:29.89,아니 아무튼 그런 새끼 보면 그런 생각이 든다고,
