시작 시간,종료 시간,내용,live_id
00:00:04.38,00:00:23.71,.,18311148
00:00:23.73,00:00:23.75,.,
00:00:23.77,00:00:23.79,.,
00:00:28.53,00:00:41.05,다음 영상에서 만나요.,
00:01:01.37,00:01:28.79,개그가 거의 다 설치가 됐는데요 아직 다 깔리진 않았습니다 블루야 지금 개그중이던데 강지님이랑 스테일분들 연결될까?,
00:01:28.81,00:01:29.47,개소리 하지마 레바가 개그를 한다고 보탭에 그린다는 뜻이겠지,
00:01:30.43,00:01:41.76,카카오배그에 사람 있냐고요?,
00:01:42.90,00:01:45.02,몰라요 탑에 사람 존나 없다고?,
00:01:45.42,00:01:58.97,아 스팀 배그는 다 정지 당했단 말이야 아 만원 원 고맙습니다 새로 파라고?,
00:01:58.99,00:01:59.13,스팀 계정을?,
00:02:04.01,00:02:28.87,어떤 버츄벌은 앱을 압박하려고 스팀 계정을 새로 까는건 또 아니면 씨발 스탈까?,
00:02:28.89,00:02:30.03,장난스러운 코쿠나장이 그만 해킹을 그냥 스팀에 얘기해서 내가 한거 아니다 ㅈㄴ 억울하다 말해봐달라고 해,
00:02:32.37,00:02:36.18,스타1 하겠지 이랬다 저랬다 뭐냐고요?,
00:02:36.20,00:02:46.40,아 오늘 일단 그림 말고 다른 거 하고 싶음 쉴 때 존나 없다고?,
00:02:47.38,00:02:52.58,아 씨X 스타1은 금방 깔려서 할 수 있을 것 같은데 잠깐만,
00:02:56.34,00:03:07.15,내 스팀 계정 빌려줄게 네이버 메일로 계정 아디 비번 보내면 돼?,
00:03:07.39,00:03:10.81,배그하는거 아니었냐고?,
00:03:10.83,00:03:23.11,아... 일단 일단 다 까라 뭐야 스타1 용량이 6기가나 돼?,
00:03:23.23,00:03:25.65,이럴수가 음,
00:03:29.63,00:03:57.06,오늘은 아무튼 뭔가 아 천원원 고맙습니다 배그 할 거면 차라리 저챗이나 술배그 해 형 또 하다가 아이 씨발 게임 왜 이래 이럴 거잖아 하루 이틀 보는 것도 아니고 그래도 게임을 하는 거잖아 아 씨발 롤 할까?,
00:03:57.69,00:03:58.41,스타 할까?,
00:03:58.45,00:04:02.30,놀아 할까?,
00:04:02.32,00:04:02.64,뱅크 할까?,
00:04:02.92,00:04:03.10,뭐하지?,
00:04:03.12,00:04:18.34,요 며칠 계속 원고만 해서 그냥 그림 말고 다른 그 무언가는 상관없을... 뭐 어떤 거든 상관없을 것 같은 느낌이야 PC방 왔냐고?,
00:04:18.36,00:04:23.87,거의 그 정도 수준이긴 하지?,
00:04:24.09,00:04:24.97,구독 고맙습니다,
00:04:27.07,00:04:53.82,그럴 때는 프린세스 메이커 이나 해라 음 다 하자 아 기왕 게임 하려면 레바가 내꺼다 한데 족발리는 게임하는거 보고싶다고 크크크 그 어떤 게임을 해도 발릴거 같은데 배그는 지금 블루님 강지님하고 백공파님도 하고 계시던데 블루님께 연락해서,
00:04:54.65,00:05:20.15,아 자꾸 타스 언급 빼낸다 아 결투장 결투장 해버린다,
00:05:22.14,00:05:38.37,이 새끼 갑자기 배그 뭐냐?,
00:05:38.39,00:05:43.12,누구랑 합방 잡혔냐?,
00:05:43.14,00:05:43.36,오버워치까지 나온다.,
00:05:43.76,00:05:44.40,이터널리턴 찍먹이라도 제발 내 평생의 소원이다.,
00:05:44.42,00:05:51.05,이터널리턴 할 바에 롤 하는 게 낫지 않을까요?,
00:05:51.07,00:05:51.45,스타랑 배그 거의 동시에 깔리겠다.,
00:05:51.47,00:05:51.61,결투장 해봐.,
00:05:51.63,00:05:51.79,크크 갭해줄게.,
00:05:53.20,00:05:58.49,세키노 처음부터 다시 깨기?,
00:06:20.34,00:06:20.58,나 세키노 존나 잘해.,
00:06:20.60,00:06:20.94,아니면 바로 메탈 슬로그 하죠.,
00:06:20.96,00:06:21.32,치지직 버튜버 월드컵 2048강.,
00:06:21.34,00:06:21.74,저희 오버워치 정상영업합니다 진짜이.,
00:06:26.28,00:06:51.53,음 그래 뭐하지 일단 배그는 지금 막 다 깔렸군요 스타도 다 깔렸어 나 일단 스타는 존나 못해서 오히려 존나 못하는 거 보고 타는 게 나아 배그부터 찍먹해보자고?,
00:06:51.65,00:06:52.27,그럴까?,
00:06:56.05,00:07:26.02,아 이어폰을 또 껴야겠구만 아유 너무 매번 똑같은 사람이어서 그게 문제였어 이 결투장을 도래 도래 아아아,
00:07:32.97,00:07:52.68,현재... 던전앤파이터와도 사이퍼즈 만든 회사에서 만든 RPG 게임이 있는데 찍먹이라도 해보실래요?,
00:07:52.70,00:07:53.12,요즘 새 시즌이라서 퍼주는 거 많아요.,
00:07:53.14,00:07:53.46,"아아... 아, 형기야 하실?",
00:07:53.48,00:07:59.65,소리 잘 들리죠?,
00:07:59.67,00:08:00.15,원래 시식 코너 돌아다닐 때가 제일 재밌음.,
00:08:00.17,00:08:00.95,"이거 한 두 판, 저거 한 두 판 하면서 여태 언급된 게임들 다 하자.",
00:08:06.89,00:08:11.56,고대 소리 엄청 작아졌다고?,
00:08:11.68,00:08:23.76,지금 이어폰으로 연결해서 작아진 것 같은데.,
00:08:23.78,00:08:24.02,자 이제 키워드릴게요.,
00:08:24.28,00:08:25.52,배그 클라이언트가 실행 중입니다.,
00:08:40.59,00:08:41.47,누구랑 하냐고?,
00:08:41.69,00:08:43.39,혼자 하는데요?,
00:08:43.41,00:08:54.14,이걸 누구랑 해야 돼?,
00:08:54.16,00:09:01.09,전에 한두 판 한 것 같은데?,
00:09:01.53,00:09:06.66,뭔 노래야 이거?,
00:09:08.19,00:09:13.76,하대의 대동력 놀이는 우리 레바.,
00:09:13.78,00:09:14.40,빠른 참가.,
00:09:14.84,00:09:16.04,일단 돌려.,
00:09:20.11,00:09:20.19,아니요.,
00:09:20.33,00:09:36.29,여전히 정지 상태인데.,
00:09:36.31,00:09:37.17,하지만 뭔가 요즘 하시는 것들이 합방 주력의 게임이어서 오해가 나올 만합니다.,
00:09:37.88,00:09:53.14,뭐 노해 시참게임 하자고?,
00:09:53.54,00:09:59.63,이게 시참게임 아니냐?,
00:10:07.64,00:10:31.19,지금 들어오면 13겜 아니야?,
00:10:31.21,00:10:32.31,왜 스팀 배그 아니냐고요?,
00:10:32.33,00:10:34.09,아 스팀 배그는 정지를 먹었습니다,
00:10:39.52,00:10:49.65,음 아니 애초에 카카오뱅그랑 스팀뱅그랑 서버가 나눠져 있는 것부터가 잘못된 거 아니야?,
00:10:49.90,00:11:08.90,까지고 통합하지 아니 제가 잘못해서 정지를 먹은 게 아니고 중국인 친구가 스팀뱅그를 아니 스팀 해킹해가지고 핵 써서 정지 먹음,
00:11:15.99,00:11:26.82,오오오 오랜만이다 어디로 갈까?,
00:11:26.84,00:11:41.83,일단 가까운 데로 갈까?,
00:11:41.85,00:11:41.95,슈우우우우,
00:11:46.84,00:11:59.15,주위에 사람이 좀 있나?,
00:11:59.17,00:12:12.79,생각보다 적은데?,
00:12:12.81,00:12:13.43,저 새끼 내가 잡는다.,
00:12:29.97,00:12:34.69,30키라면 30억 30억은 더 줘야 될걸?,
00:12:34.71,00:12:58.32,20개월째 구독이라 전하시오 구독 고마워요 엠포로 바꿔,
00:13:06.15,00:13:18.86,헐 유비 귀엽지 않아요?,
00:13:37.05,00:13:59.96,발소리가 멈췄어 멀어진건가?,
00:13:59.98,00:14:01.04,뭔 템이 이렇게 많아졌냐,
00:14:22.85,00:14:24.01,돈만한 새끼.,
00:14:24.03,00:14:35.40,잘 모아왔구나.,
00:14:35.42,00:14:36.99,여기에 내린 애 한 명밖에 없었지?,
00:14:47.10,00:14:49.99,미친 29킬만 더하면 30억임.,
00:14:50.01,00:14:50.61,크크크크크크크크크크크크크크크크크크크크크크크크크크크크크크,
00:14:52.95,00:15:07.46,근데 이제 파밍 막 빡세게 할 필요 없잖아 하나는 저격소총 같은 거 들면 되지 않을까?,
00:15:20.88,00:15:21.24,어?,
00:15:21.26,00:15:21.58,드라구드 오프다 그럴걸?,
