시작 시간,start_sec,종료 시간,end_sec,speaker,내용,live_id
00:00:23,23.82,00:00:25,25.82,UNKNOWN,컴퓨터를 한 번 껐다 켰습니다,19270617
00:00:25,25.82,00:01:16,76.85,UNKNOWN,배그 키고 있어 다시,
00:01:16,76.85,00:01:18,78.85,UNKNOWN,씨는 불공평해 레바 왜 잘생김...,
00:01:18,78.85,00:01:20,80.85,UNKNOWN,이 정도 인기면 좀 못생겨도 되잖아,
00:01:20,80.85,00:01:36,96.54,UNKNOWN,아 왜 이렇게 또 배그는 안 켜져,
00:01:36,96.54,00:01:38,98.54,UNKNOWN,봐봐 봐봐 봐봐 봐봐,
00:01:38,98.54,00:01:40,100.54,UNKNOWN,또 또 또 또 또 시작이야,
00:01:40,100.54,00:01:42,102.54,UNKNOWN,또 응?,
00:01:42,102.54,00:01:44,104.54,UNKNOWN,내가 28개월간 구독한 게,
00:01:44,104.54,00:01:46,106.54,UNKNOWN,버튜버 용탐 스캔방이라니,
00:01:46,106.54,00:01:49,109.79,UNKNOWN,인생 시부랄 거,
00:01:49,109.79,00:01:59,119.22,UNKNOWN,오케이 부드러워질 때까지,
00:01:59,119.22,00:02:01,121.22,UNKNOWN,이지랄하고,
00:02:01,121.22,00:02:03,123.22,UNKNOWN,어? 해결되나?,
00:02:03,123.22,00:02:14,134.21,UNKNOWN,오 오 오 오 오 오,
00:02:14,134.21,00:02:16,136.21,UNKNOWN,점점 부드러워지죠?,
00:02:16,136.21,00:02:20,140.67,UNKNOWN,시발 유두이로 하는 것처럼 보이네,
00:02:20,140.67,00:02:26,146.32,UNKNOWN,오케이,
00:02:26,146.32,00:02:29,149.57,UNKNOWN,오늘 그림 방송은 없냐고요?,
00:02:29,149.57,00:02:31,151.57,UNKNOWN,보통 평일은,
00:02:31,151.57,00:02:33,153.57,UNKNOWN,그림 방송 잘 안 하는 편이긴 합니다,
00:02:33,153.57,00:02:35,155.57,UNKNOWN,할 때도 있긴 하지만,
00:02:35,155.57,00:02:39,159.17,UNKNOWN,맞다 다음 주,
00:02:39,159.17,00:02:41,161.17,UNKNOWN,나 다다음 주에 한번 제주도 가야 되는데,
00:02:41,161.17,00:02:53,173.79,UNKNOWN,제주도 누구랑 가냐고?,
00:02:53,173.79,00:02:55,175.79,UNKNOWN,혼자 가죠,
00:02:55,175.79,00:03:26,206.14,UNKNOWN,네오플에 소환장이 있어서,
00:03:26,206.14,00:03:28,208.14,UNKNOWN,제주도에 말 좀 보고 와,
00:03:28,208.14,00:03:31,211.84,UNKNOWN,나 제주도 가서,
00:03:31,211.84,00:03:33,213.84,UNKNOWN,말 말고 알파카는 봤는데,
00:03:33,213.84,00:03:51,231.78,UNKNOWN,아 나 일본에서,
00:03:51,231.78,00:03:53,233.78,UNKNOWN,말고기 먹어봤었는데,
00:03:53,233.78,00:03:55,235.78,UNKNOWN,생각보다 별로던데,
00:03:55,235.78,00:03:57,237.78,UNKNOWN,맛있었으면 존나게 기억,
00:03:57,237.78,00:03:59,239.78,UNKNOWN,남았을 거 같은데,
00:03:59,239.78,00:04:01,241.78,UNKNOWN,기억 안 나는 거 보니까,
00:04:01,241.78,00:04:09,249.98,UNKNOWN,그저 그래 그저 그랬던 거 같은데,
00:04:09,249.98,00:04:11,251.98,UNKNOWN,맛 묘사 좀,
00:04:11,251.98,00:04:13,253.98,UNKNOWN,되게 육포가 촉촉해진 느낌,
