시작 시간,start_sec,종료 시간,end_sec,speaker,내용,live_id
00:02:14,134.93,00:02:24,144.43,UNKNOWN,잘 들리나요? 방제를 좀 제대로 적어놔야겠다,19264297
00:02:24,144.43,00:02:28,148.31,UNKNOWN,괜히 오해살라,
00:02:28,148.31,00:02:39,159.12,UNKNOWN,또래돌래,
00:02:39,159.12,00:02:41,161.32,UNKNOWN,됐다 됐다,
00:02:41,161.32,00:02:48,168.48,UNKNOWN,그러면 바로 큐를 돌려보도록 하겠습니다,
00:02:48,168.48,00:02:53,173.72,UNKNOWN,뜨든,
00:02:53,173.72,00:03:01,181.85,UNKNOWN,아 오랜만인데? 좀 접혔었거든요 사람들 너무 잘해가지고,
00:03:01,181.85,00:03:04,184.55,UNKNOWN,아이 진짜 존나 허탈할 때가,
00:03:04,184.55,00:03:09,189.25,UNKNOWN,딱 구석지에서 열심히 파밍해서 이제 인서클 해볼까 하고 딱 가다가,
00:03:09,189.25,00:03:16,196.51,UNKNOWN,차 타고 가다가 갑자기 헤드 맞고 딱 뒤질 때,
00:03:16,196.51,00:03:19,199.01,UNKNOWN,그거 한 세 번 겪으면 접혀,
00:03:19,199.01,00:03:35,215.32,UNKNOWN,핵 아니냐고? 그럴 수도 있어,
00:03:35,215.32,00:03:40,220.02,UNKNOWN,진짜 그냥 진짜 자연스럽게 붕 가다가 그냥 따다닥 맞은 게 아니고 그냥,
00:03:40,220.02,00:03:42,222.02,UNKNOWN,그냥 SR로 갑자기,
00:03:42,222.02,00:03:48,228.7,UNKNOWN,빡 하고 그냥,
00:03:48,228.7,00:03:51,231.0,UNKNOWN,옷은 왜 샀냐고? 그냥,
00:03:51,231.0,00:03:53,233.3,UNKNOWN,포인트 남길래 하나 샀는데,
00:03:53,233.3,00:03:55,235.2,UNKNOWN,최대한 새까맣게 꾸미면,
00:03:55,235.2,00:03:57,237.5,UNKNOWN,은신에 도움이 되지 않을까 하고,
00:03:57,237.5,00:04:08,248.95,UNKNOWN,어디 내릴까?,
00:04:08,248.95,00:04:14,254.05,UNKNOWN,도서관 갔는데 배부르고 책상 다 부수도 집에 왔는데,
00:04:15,255.55,00:04:16,256.65,UNKNOWN,고마워요,
00:04:16,256.65,00:04:20,260.36,UNKNOWN,이거 뭐야 어디로,
00:04:20,260.36,00:04:23,263.26,UNKNOWN,좀 멀리 가서 파밍하고 싶은데,
00:04:23,263.26,00:04:43,283.96,UNKNOWN,이렇게 이렇게 이렇게 파밍할까?,
00:04:43,283.96,00:04:51,291.32,UNKNOWN,내가 가는 곳에 같이 누구 내릴려나?,
00:04:51,291.32,00:04:54,294.12,UNKNOWN,2주만에 배그 방송이라고? 2주밖에 안 됐어요?,
00:04:54,294.12,00:05:05,305.67,UNKNOWN,아 열어드릴까요?,
00:05:05,305.67,00:05:06,306.97,UNKNOWN,와 개못해,
00:05:06,306.97,00:05:09,309.07,UNKNOWN,씨발,
00:05:09,309.07,00:05:21,321.41,UNKNOWN,씨발 아무것도 안 했는데 개자식아,
00:05:21,321.41,00:05:27,327.02,UNKNOWN,일단 내가 가는 곳에는 없는 것 같아요,
00:05:27,327.02,00:05:29,329.52,UNKNOWN,가는 길에 차가 한 대 보이면 좋겠는데,
00:05:30,330.72,00:05:33,333.82,UNKNOWN,배그 하길래 말리는 부잠기함 때리고 퇴근했어,
00:05:33,333.82,00:05:35,335.12,UNKNOWN,나 잘했지,
00:05:35,335.12,00:05:41,341.34,UNKNOWN,아 잘했어요,
00:05:41,341.34,00:05:42,342.14,UNKNOWN,도착,
00:05:42,342.14,00:05:48,348.74,UNKNOWN,배그 볼 때 딱 맞는 음식 추천점,
00:05:48,348.74,00:05:50,350.64,UNKNOWN,배그 볼 때 딱 맞는 음식?,
