시작 시간,종료 시간,내용,live_id
00:01:15.95,00:01:45.45,아아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,18415901
00:01:54.47,00:02:08.51,아 노이즈가 좀 심한가요?,
00:02:08.53,00:02:14.95,약간 마이크 소리를 좀 줄일까?,
00:02:15.07,00:02:22.20,아 지금은 어때요 지금은 좀 괜찮죠 자 한번 돌려보도록 하겠습니다,
00:02:25.24,00:02:31.04,이야 큐 잡히는 속도가 다르구만 카카오배그는 쓰레기였어 역시,
00:02:54.77,00:02:55.49,저격인 사람!,
00:02:55.95,00:02:58.35,저격인 사람!,
00:02:58.51,00:03:00.56,너 저격이지?,
00:03:00.58,00:03:03.22,저격이면 안 잡아.,
00:03:03.24,00:03:06.25,아닌가?,
00:03:06.27,00:03:12.51,"오케이, 저격 없나 봐.",
00:03:12.53,00:03:13.03,그 정도 아니야?,
00:03:14.16,00:03:14.24,오케이.,
00:03:14.26,00:03:16.74,"아이, 그래도 당해 봤으니까 이런 말 하는 거 아니에요.",
00:03:29.60,00:03:56.81,"자 첫판, 첫판이니까 부트캠 한번 갈까?",
00:03:57.13,00:03:57.19,여어씨,
00:04:00.56,00:04:21.59,이 마당!,
00:04:21.89,00:04:23.30,"호호, 먹잇감이 많은데?",
00:04:43.24,00:04:44.96,오오 난리났다 난리났어,
00:05:30.15,00:05:51.38,아이씨 아 와카케 이르노니 이 씨발 안에 있을걸 그냥 아이씨 아 근데 우지라서 저 분리했다 빠른 리게임 좋아요,
00:06:00.92,00:06:22.70,일단 오늘 부트캠에서 살아나가기 한번 해보자 적어도 부트캠에서 이기는 해야지 시작을 할 수 있겠어 아 진짜?,
00:06:34.60,00:06:50.91,바보야?,
00:06:52.03,00:06:53.53,누가 1등에 걸을래,
00:07:09.70,00:07:27.49,이번에도 북캡이다 어 방금 전판에 무효 그건 게임이 아니었어,
00:07:39.41,00:08:06.01,오케이 오케이 오케이 오케이 방금 전파보다는 사람 좀 적은.. 아닌가?,
00:08:28.62,00:08:44.58,이번엔 좀 안전하게 가볼까요?,
