시작 시간,start_sec,종료 시간,end_sec,화자,내용,live_id
00:04:08,248.02,00:04:18,258.79,UNKNOWN,달러 그동안 잘 지냈나요? 아이고 이번 주도 정말,19068912
00:04:18,258.79,00:04:25,265.38,UNKNOWN,어 순식간에 지났네요,
00:04:25,265.38,00:04:35,275.9,UNKNOWN,뻘럴리 아이고 생각보다 오랜만은 아니라고요? 저에겐 전 되게 오랜만이라고 여겨지네요,
00:04:35,275.9,00:04:45,285.17,UNKNOWN,일주일 내내 뭐가 있었다 보니까,
00:04:45,285.17,00:04:50,290.99,UNKNOWN,아 만원원 고맙습니다 돈의 소리를 다 꺼놨었지,
00:04:50,290.99,00:04:53,293.69,UNKNOWN,세라 쿠폰 남은 거 있냐고? 있겠니?,
00:04:53,293.69,00:05:00,300.19,UNKNOWN,드로잉쇼 어떠셨나요? 전 신선해서 즐거웠어요,
00:05:00,300.19,00:05:08,308.08,UNKNOWN,네 저도 재밌게 즐겼습니다,
00:05:08,308.08,00:05:11,311.18,UNKNOWN,하여튼,
00:05:11,311.18,00:05:19,319.19,UNKNOWN,드로잉쇼 너무 재밌었다,
00:05:19,319.19,00:05:27,327.89,UNKNOWN,하여튼 금요일 토요일에 킨텍스 행사가 있었어가지고,
00:05:27,327.89,00:05:35,335.22,UNKNOWN,킨텍스를 아침 일찍 이렇게 갔죠 킨텍스 건물 이렇게,
00:05:35,335.22,00:05:47,347.9,UNKNOWN,일전시장 와 사람이 진짜 많더라고요 이번에,
00:05:47,347.9,00:05:54,354.9,UNKNOWN,그 금요일은 금요일인데 토요일이 진짜 사람이 대박 많았어요,
00:05:54,354.9,00:06:03,363.56,UNKNOWN,토요일이 그 뭐냐 일러페랑 그 플레익스포랑 같이 열려서 그런가 주말이기도 하고,
00:06:03,363.56,00:06:17,377.42,UNKNOWN,"그래서 그 일전시장, 이전시장 그 중간에가 사람이 진짜 개미어 터졌어요",
00:06:17,377.42,00:06:26,386.88,UNKNOWN,요 사이쯤에 그 오가는 길목이 있는데 사람이 진짜 그냥,
00:06:26,386.88,00:06:33,393.8,UNKNOWN,어마어마하고,
00:06:33,393.8,00:06:42,402.43,UNKNOWN,어마어마하게 있었어요 진짜 어 코스프레 한 사람들 진짜 너무 대단하더라,
00:06:42,402.43,00:06:57,417.44,UNKNOWN,날도 존나 더웠거든요 코스프레 한 사람들 중 되게 많은데,
00:06:57,417.44,00:07:03,423.44,UNKNOWN,그 버니스 그 젠 존재 버니스 코스프레 한 분이 너무 고퀄이라서 사진 찍어 달까 고민하다가,
00:07:03,423.44,00:07:11,431.43,UNKNOWN,결국 말 안 걸었어 유독 눈에 띄는 고퀄리티라서,
00:07:11,431.43,00:07:23,443.54,UNKNOWN,음 소개 좀 몰라요 저도 그냥 지나가듯이 봐가지고 퍼슈트가 진짜 대단하다 맞아요,
00:07:23,443.54,00:07:31,451.54,UNKNOWN,진짜 슈트 입고 다니는 사람들은 진짜 인자강이야 어떻게 그 날씨에 그 인파 속에서 그걸 입고 다니지,
00:07:31,451.54,00:07:45,465.38,UNKNOWN,코스프레가 사진 찍어달라고 한 적은 있냐고 그건 뭐 많죠 어 제가 계속 왔다갔다 하다보니까 그 사이에 사람들을 많이 마주치거든요,
00:07:45,465.38,00:07:56,476.0,UNKNOWN,박치기로 강남에 집 산 레반데 번호 좀 줘라 하면 주는 거 아니었음,
00:07:56,476.0,00:08:03,483.51,UNKNOWN,여기 강남 아닌데,
00:08:03,483.51,00:08:08,488.51,UNKNOWN,이번에 병원 때문에 못가서 아쉬웠음 병원 미루기에는 행사 일정이 너무 늦게 나왔었어서 아쉬웠음,
00:08:08,488.51,00:08:11,491.51,UNKNOWN,다음 행사 있을 때는 늦어도 빼고 가야지,
00:08:11,491.51,00:08:18,498.51,UNKNOWN,아무튼 금요일부터 행사라서 목요일에 와가지고 미리 리허설이랑 이런 거 하느라,
00:08:18,498.51,00:08:26,506.51,UNKNOWN,숙소를 근처 5분 거리에 있는 소노캄 고양이라는 곳에 네오플이 숙소를 잡아줬단 말이죠,
00:08:26,506.51,00:08:38,518.66,UNKNOWN,되게 깨끗한데 좋더라고요,
00:08:38,518.66,00:08:47,527.9,UNKNOWN,리허설을 수요일에 방주한 거 한 게 아니었냐고,
00:08:47,527.9,00:08:51,531.9,UNKNOWN,아 목요일에 뭐 했냐 목요일에 리허설이었어요,
00:08:51,531.9,00:08:55,535.34,UNKNOWN,화요일 수요일에 뭐 아 그 그 어,
00:08:55,535.34,00:09:13,553.7,UNKNOWN,촬영있었고 따로 리허설도 하고 리허설을 매일 뭐 전달도 하고 당일날도 하고 그렇기 때문에,
00:09:13,553.7,00:09:30,570.69,UNKNOWN,자 이렇게 대기실에 있으면 나있고 옆 테이블에 성쾌님 있고,
00:09:30,570.69,00:09:40,580.76,UNKNOWN,여기에 피넛님 있고 인생님 있고 여기 낡은창고님도 옆 테이블에 있고,
00:09:40,580.76,00:10:00,600.36,UNKNOWN,종민님도 있고 테이블에서 대기실에서 그냥 간식이랑 밥같은거 먹으면서 밥같은건 김밥을 먹어도 되고 도시락이 따로 있어요,
00:10:00,600.36,00:10:07,607.62,UNKNOWN,이렇게 딱,
00:10:07,607.62,00:10:12,612.06,UNKNOWN,오모모모 간만에 우다다 타임하네,
00:10:12,612.06,00:10:27,627.63,UNKNOWN,명성 12만이냐고 면전에서 물어보진 못했어요 오늘 저녁 뭐 먹었냐고요? 저녁은 안먹었고 점심에 갈비찜 먹었어요,
00:10:27,627.63,00:10:29,629.59,UNKNOWN,레바야 행사 고생했따리,
00:10:29,629.59,00:10:30,630.29,UNKNOWN,고맙습니다,
00:10:30,630.29,00:10:38,638.34,UNKNOWN,자,
00:10:38,638.34,00:10:44,644.29,UNKNOWN,보자,
00:10:44,644.29,00:10:45,645.43,UNKNOWN,뭔 노래냐고요?,
00:10:45,645.43,00:10:48,648.09,UNKNOWN,럭키스타 노래인데,
00:10:48,648.09,00:11:05,665.22,UNKNOWN,클래식으로 바꿔드리겠습니다,
00:11:05,665.22,00:11:07,667.96,UNKNOWN,결국 끝까지 안 물어봤냐고요? 그쵸?,
00:11:07,667.96,00:11:12,672.76,UNKNOWN,뭐 애초에 종민님하고 사담을 나누기에는 뭔가,
00:11:12,672.76,00:11:14,674.86,UNKNOWN,뭔가,
00:11:14,674.86,00:11:16,676.86,UNKNOWN,뭔가,
00:11:16,676.86,00:11:18,678.7,UNKNOWN,아,
00:11:18,678.7,00:11:20,680.7,UNKNOWN,뭔가,
00:11:20,680.7,00:11:22,682.0,UNKNOWN,말이 표현이 안돼,
00:11:22,682.0,00:11:25,685.74,UNKNOWN,나에게 있어서 종민님을 약간 모니터 너머의 가상인물로,
00:11:25,685.74,00:11:26,686.28,UNKNOWN,여겨야지,
00:11:26,686.28,00:11:26,686.46,UNKNOWN,편한,
00:11:26,686.46,00:11:28,688.46,UNKNOWN,하게 대할 수 있을 것 같은데,
00:11:28,688.46,00:11:41,701.6,UNKNOWN,눈앞에 있다 보니까 되게 위화가 모셔,
00:11:41,701.6,00:11:42,702.84,UNKNOWN,범투버 같은거냐고?,
00:11:42,702.84,00:11:54,714.94,UNKNOWN,그 약간 띵찡임은 없었죠 이 자리에,
00:11:54,714.94,00:11:58,718.52,UNKNOWN,아무튼 여기는 플레이액스포였고,
00:11:58,718.52,00:12:03,723.73,UNKNOWN,여기는 일패,
